Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries
Outside Fire,01/19/2018,01/18/2018,01/19/2018 12:15:29 AM,01/19/2018 12:18:37 AM,01/19/2018 12:19:16 AM,01/19/2018 12:21:32 AM,,,,Fire,01/19/2018 12:21:46 AM,5TH ST/MISSION ST,San Francisco,94103,B03,01,2246,3,3,3,true,Fire,1,ENGINE,1,3,6,South of Market
Outside Fire,01/19/2018,01/19/2018,01/19/2018 10:26:00 AM,01/19/2018 10:26:00 AM,01/19/2018 10:26:00 AM,01/19/2018 10:26:00 AM,01/19/2018 10:26:00 AM,,,Fire,01/19/2018 10:33:24 AM,JERROLD AV/RANKIN ST,San Francisco,94124,B10,09,6443,3,3,3,false,Fire,1,ENGINE,1,10,10,Bayview Hunters Point
Outside Fire,01/19/2018,01/19/2018,01/19/2018 01:41:36 PM,01/19/2018 01:48:36 PM,01/19/2018 01:48:40 PM,01/19/2018 01:49:59 PM,01/19/2018 01:52:53 PM,,,No Merit,01/19/2018 01:55:25 PM,100 Block of MASON ST,San Francisco,94102,B03,01,1364,3,3,3,true,Fire,1,ENGINE,1,3,3,Tenderloin
Outside Fire,01/19/2018,01/19/2018,01/19/2018 02:05:10 PM,01/19/2018 02:06:22 PM,01/19/2018 02:06:34 PM,01/19/2018 02:07:23 PM,,,,Fire,01/19/2018 02:09:32 PM,18TH ST/CASTRO ST,San Francisco,94114,B05,06,5415,3,3,3,false,Fire,1,ENGINE,2,5,8,Castro/Upper Market
Outside Fire,01/19/2018,01/19/2018,01/19/2018 02:05:10 PM,01/19/2018 02:06:22 PM,01/19/2018 02:08:43 PM,01/19/2018 02:08:43 PM,01/19/2018 02:08:43 PM,,,Fire,01/19/2018 02:11:20 PM,18TH ST/CASTRO ST,San Francisco,94114,B05,06,5415,3,3,3,true,Fire,1,ENGINE,1,5,8,Castro/Upper Market
Vehicle Fire,01/19/2018,01/19/2018,01/19/2018 05:27:20 PM,01/19/2018 05:29:13 PM,01/19/2018 05:29:45 PM,01/19/2018 05:31:02 PM,01/19/2018 05:34:18 PM,,,Fire,01/19/2018 05:44:04 PM,SALINAS AV/CARR ST,San Francisco,94124,B10,44,6544,3,3,3,true,Fire,1,ENGINE,1,10,10,Bayview Hunters Point
Vehicle Fire,01/19/2018,01/19/2018,01/19/2018 05:27:20 PM,01/19/2018 05:29:13 PM,01/19/2018 05:29:45 PM,01/19/2018 05:31:00 PM,,,,Fire,01/19/2018 05:34:46 PM,SALINAS AV/CARR ST,San Francisco,94124,B10,44,6544,3,3,3,false,Fire,1,TRUCK,2,10,10,Bayview Hunters Point
Vehicle Fire,01/19/2018,01/19/2018,01/19/2018 06:20:37 PM,01/19/2018 06:21:53 PM,01/19/2018 06:22:12 PM,01/19/2018 06:22:56 PM,01/19/2018 06:24:38 PM,,,Fire,01/19/2018 06:36:40 PM,GEARY BL/GOUGH ST,San Francisco,94109,B04,03,3222,3,3,3,true,Fire,1,ENGINE,1,4,5,Western Addition
Vehicle Fire,01/19/2018,01/19/2018,01/19/2018 06:20:37 PM,01/19/2018 06:21:53 PM,01/19/2018 06:22:12 PM,01/19/2018 06:23:28 PM,01/19/2018 06:25:03 PM,,,Fire,01/19/2018 06:25:11 PM,GEARY BL/GOUGH ST,San Francisco,94109,B04,03,3222,3,3,3,false,Fire,1,TRUCK,2,4,5,Western Addition
Structure Fire,01/19/2018,01/19/2018,01/19/2018 07:15:11 PM,01/19/2018 07:16:36 PM,01/19/2018 07:17:11 PM,01/19/2018 07:17:53 PM,01/19/2018 07:22:36 PM,,,Fire,01/19/2018 07:29:28 PM,1200 Block of 35TH AV,San Francisco,94122,B08,23,7564,3,3,3,true,Fire,1,MEDIC,5,8,4,Sunset/Parkside
Structure Fire,01/19/2018,01/19/2018,01/19/2018 07:15:11 PM,01/19/2018 07:16:36 PM,01/19/2018 07:17:11 PM,01/19/2018 07:19:00 PM,01/19/2018 07:23:43 PM,,,Fire,01/19/2018 07:33:23 PM,1200 Block of 35TH AV,San Francisco,94122,B08,23,7564,3,3,3,false,Fire,1,CHIEF,7,8,4,Sunset/Parkside
Structure Fire,01/19/2018,01/19/2018,01/19/2018 07:15:11 PM,01/19/2018 07:16:36 PM,01/19/2018 07:17:11 PM,01/19/2018 07:18:31 PM,01/19/2018 07:23:40 PM,,,Fire,01/19/2018 07:29:58 PM,1200 Block of 35TH AV,San Francisco,94122,B08,23,7564,3,3,3,false,Fire,1,CHIEF,6,8,4,Sunset/Parkside
Structure Fire,01/19/2018,01/19/2018,01/19/2018 07:15:11 PM,01/19/2018 07:16:36 PM,01/19/2018 07:17:11 PM,01/19/2018 07:18:23 PM,,,,Fire,01/19/2018 07:29:43 PM,1200 Block of 35TH AV,San Francisco,94122,B08,23,7564,3,3,3,false,Fire,1,CHIEF,9,8,4,Sunset/Parkside
Structure Fire,01/19/2018,01/19/2018,01/19/2018 07:15:11 PM,01/19/2018 07:16:36 PM,01/19/2018 07:17:11 PM,01/19/2018 07:17:56 PM,,,,Fire,01/19/2018 07:30:11 PM,1200 Block of 35TH AV,San Francisco,94122,B08,23,7564,3,3,3,true,Fire,1,ENGINE,8,8,4,Sunset/Parkside
Structure Fire,01/19/2018,01/19/2018,01/19/2018 07:15:11 PM,01/19/2018 07:16:36 PM,01/19/2018 07:17:11 PM,01/19/2018 07:18:18 PM,01/19/2018 07:21:12 PM,,,Fire,01/19/2018 07:35:22 PM,1200 Block of 35TH AV,San Francisco,94122,B08,23,7564,3,3,3,false,Fire,1,ENGINE,2,8,4,Sunset/Parkside
Structure Fire,01/19/2018,01/19/2018,01/19/2018 07:15:11 PM,01/19/2018 07:16:36 PM,01/19/2018 07:17:11 PM,01/19/2018 07:18:33 PM,01/19/2018 07:21:29 PM,,,Fire,01/19/2018 07:32:52 PM,1200 Block of 35TH AV,San Francisco,94122,B08,23,7564,3,3,3,false,Fire,1,ENGINE,3,8,4,Sunset/Parkside
